geeky,StarWars_fandom,StarWars_knowledge,StarTrek_fandom,StarTrek_knowledge,StarWars_obscure,StarTrek_obscure,familiar,desert_island,age,gender,continent,sector,MDS,sw_score,st_score
4,3,4,3,3,FALSE,FALSE,Star Wars,Star Trek,25,Male,North America,Finance/Economics/Business,TRUE,0.7037037037037037,0.4444444444444444
3,3,3,2,2,FALSE,FALSE,Star Wars,Star Wars,35,Female,North America,Math/Statistics,TRUE,0.6296296296296297,0.2962962962962963
4,4,3,4,2,FALSE,FALSE,Star Wars,Star Trek,25,Female,Europe,Tech,TRUE,0.7037037037037037,0.4444444444444444
3,3,3,2,2,FALSE,FALSE,Star Wars,Star Trek,25,Other,Europe,Math/Statistics,FALSE,0.6296296296296297,0.2962962962962963
3,2,2,2,1,FALSE,FALSE,Star Wars,Star Wars,25,Female,Europe,Math/Statistics,FALSE,0.48148148148148145,0.2222222222222222
3,4,4,3,2,FALSE,FALSE,Star Wars,Star Trek,25,Male,Europe,Math/Statistics,FALSE,0.7777777777777778,0.37037037037037035
4,1,2,4,4,FALSE,FALSE,Star Trek,Star Trek,35,Female,North America,Administration/Education,FALSE,0.2222222222222222,0.7777777777777778
4,5,5,3,1,FALSE,FALSE,Star Wars,Star Wars,25,Male,Europe,Math/Statistics,FALSE,0.9259259259259259,0.2962962962962963
4,3,4,2,1,FALSE,FALSE,Star Wars,Star Wars,25,Other,Europe,Math/Statistics,FALSE,0.7037037037037037,0.2222222222222222
4,3,4,4,3,FALSE,FALSE,Star Wars,Star Trek,45,Male,North America,Finance/Economics/Business,FALSE,0.7037037037037037,0.5185185185185185
2,4,3,2,2,FALSE,FALSE,Star Wars,Star Wars,25,Male,Europe,Math/Statistics,FALSE,0.7037037037037037,0.2962962962962963
2,2,1,1,1,FALSE,FALSE,neither,neither,35,Male,North America,Administration/Education,FALSE,0.2222222222222222,0.14814814814814814
4,3,3,2,1,FALSE,FALSE,Star Wars,Star Wars,45,Female,North America,Tech,FALSE,0.6296296296296297,0.2222222222222222
4,3,3,3,3,FALSE,FALSE,Star Wars,Star Wars,45,Other,North America,Math/Statistics,FALSE,0.6296296296296297,0.4444444444444444
4,3,3,2,3,FALSE,FALSE,Star Wars,Star Wars,45,Male,North America,Tech,FALSE,0.6296296296296297,0.37037037037037035
